label,Long,Lat,B2,B3,B4,B5,B8,B8A,B11,B12
open water,105.42221720100008,19.911255461000053,0.0556,0.0998,0.1102,0.1002,0.1331,0.1074,0.0988,0.0768
open water,105.42299068900007,19.911202824000043,0.0559,0.0876,0.0698,0.1442,0.1779,0.1997,0.2002,0.1376
open water,105.42255997800004,19.91132392100008,0.0465,0.0814,0.0501,0.052,0.0329,0.0472,0.0627,0.0381
open water,105.42223635300007,19.91132635300005,0.0556,0.0998,0.1102,0.1002,0.1331,0.1074,0.0988,0.0768
open water,105.42302989100004,19.911406064000065,0.0452,0.0831,0.0554,0.0651,0.036,0.0469,0.0508,0.0304
open water,105.42251925200009,19.91133054700004,0.0465,0.0814,0.0501,0.052,0.0329,0.0472,0.0627,0.0381
open water,105.42250925600004,19.911136510000063,0.0552,0.102,0.1238,0.1351,0.2104,0.1542,0.1613,0.1049
open water,105.42265452000004,19.911256739000063,0.0443,0.081,0.0496,0.052,0.0353,0.0472,0.0627,0.0381
open water,105.42278068800005,19.91135393900004,0.044,0.0775,0.0485,0.0494,0.0336,0.0387,0.0522,0.0348
open water,105.42219715500003,19.91132048800005,0.0556,0.0998,0.1102,0.1002,0.1331,0.1074,0.0988,0.0768
open water,105.42282077000004,19.911476631000028,0.0468,0.0782,0.0571,0.0982,0.0658,0.1534,0.1023,0.0718
open water,105.42250927400003,19.91119098100006,0.0472,0.0828,0.0595,0.1351,0.0745,0.1542,0.1613,0.1049
open water,105.42261986400004,19.911395538000026,0.0449,0.0789,0.0474,0.052,0.0484,0.0472,0.0627,0.0381
open water,105.42294432000004,19.91136116300004,0.044,0.0796,0.0514,0.0651,0.0335,0.0469,0.0508,0.0304
open water,105.42266002700006,19.911217874000045,0.0507,0.0822,0.0562,0.1351,0.0834,0.1542,0.1613,0.1049
open water,105.42308094100008,19.911224001000047,0.0542,0.0825,0.0843,0.1932,0.2249,0.218,0.224,0.1555
open water,105.42296534100008,19.911348991000068,0.0452,0.0831,0.0554,0.0651,0.036,0.0469,0.0508,0.0304
open water,105.42229059400006,19.91121332400008,0.058,0.0995,0.115,0.1796,0.1574,0.2098,0.2521,0.1777
open water,105.42264764800008,19.911307852000046,0.0443,0.081,0.0496,0.052,0.0353,0.0472,0.0627,0.0381
open water,105.42216845500008,19.911465528000065,0.0656,0.1034,0.1108,0.1404,0.1682,0.2205,0.154,0.1249
