OID_,LAT,LONG,SymbolID,B04,B05,B06
1,20.33822805000005,105.08185677400007,0,0.0362,0.0493,0.07125
2,20.339278395000065,105.08073002000005,0,0.04665,0.0621,0.09765
3,20.338742866000075,105.08072989700008,0,0.0438,0.0724,0.0943
4,20.33844874700003,105.08135674900008,0,0.04805,0.05825,0.08525
5,20.339186370000046,105.08067847600006,0,0.04665,0.0438,0.07275
6,20.33858686900004,105.08119383300004,0,0.04805,0.0819,0.09435
7,20.338614903000064,105.08147557400008,0,0.04315,0.0657,0.082
8,20.338837012000056,105.08158560500004,0,0.04315,0.0544,0.0723
9,20.33813676200004,105.08217093500008,0,0.03485,0.07405,0.107
10,20.338453088000048,105.08131077200004,0,0.04805,0.0713,0.0923
11,20.338063530000056,105.08223345200008,0,0.03485,0.06395,0.0979
12,20.338912020000063,105.08131916400004,0,0.04545,0.0659,0.0901
13,20.33871521100008,105.08084808400008,0,0.0438,0.04915,0.067
14,20.33831239700004,105.08193377400003,0,0.04315,0.05695,0.06885
15,20.338757741000048,105.08077707600006,0,0.0438,0.06035,0.08595
16,20.33830974800003,105.08171912900008,0,0.04315,0.0549,0.0762
17,20.33840140600006,105.08143997600008,0,0.04315,0.05255,0.0802
18,20.33899161700004,105.08084386100006,0,0.04665,0.06525,0.0919
19,20.338907030000037,105.08082656500004,0,0.04665,0.0449,0.0641
20,20.338585766000048,105.08143343500006,0,0.04315,0.0657,0.082
21,20.338138816000026,105.08226032200008,0,0.03485,0.07045,0.104
22,20.33821430300003,105.08213027000004,0,0.03485,0.06045,0.0799
23,20.33886481600007,105.08071375200008,0,0.04665,0.0405,0.0632
24,20.338810130000077,105.08129318200008,0,0.04805,0.07,0.0938
25,20.338255654000022,105.08203288000004,0,0.0362,0.04595,0.0702
26,20.33889393400005,105.08087256200008,0,0.04665,0.0449,0.0641
27,20.338954057000024,105.08129636700004,0,0.04545,0.06605,0.08085
28,20.338041269000037,105.08232759100008,0,0.03485,0.0448,0.06875
29,20.338295532000075,105.08180156700008,0,0.0362,0.0493,0.07125
30,20.339043306000065,105.08085455500007,0,0.04665,0.0816,0.1162
31,20.33808564800006,105.08234897800008,0,0.03485,0.0448,0.06875
32,20.33890613400007,105.08074388900008,0,0.04665,0.0405,0.0632
33,20.338090703000034,105.08215514000004,0,0.03485,0.06885,0.0954
34,20.33877092200004,105.08083634900004,0,0.0438,0.05145,0.0757
35,20.338705637000032,105.08075635800007,0,0.0438,0.0724,0.0943
