OID_,LAT,LONG,SymbolID,B04,B05,B06
0,19.84229171,105.3506384,0,0.065,0.08,0.1016
1,19.8422509,105.3506673,0,0.0498,0.092,0.0834
2,19.84230746,105.3507086,0,0.0764,0.101,0.1142
3,19.84224634,105.3505941,0,0.0638,0.0906,0.1014
4,19.84228578,105.3505952,0,0.065,0.08,0.1016
5,19.84231891,105.3506696,0,0.0764,0.101,0.1142
6,19.84226675,105.3505857,0,0.065,0.08,0.1016
7,19.84226546,105.3506017,0,0.065,0.08,0.1016
8,19.84227533,105.3505722,0,0.065,0.08,0.1016
9,19.84227568,105.3506422,0,0.065,0.08,0.1016
10,19.8422632,105.3505763,0,0.065,0.08,0.1016
11,19.84229834,105.3506242,0,0.065,0.08,0.1016
12,19.842285198,105.3506974,0,0.0764,0.101,0.1142
13,19.84228096,105.3507,0,0.0764,0.101,0.1142
14,19.842307587,105.3506591,0,0.0764,0.101,0.1142
15,19.84230356,105.3507099,0,0.0764,0.101,0.1142
16,19.84230051,105.3506396,0,0.065,0.08,0.1016
17,19.84230607,105.350622647,0,0.065,0.08,0.1016
18,19.84228379,105.3505765,0,0.065,0.08,0.1016
19,19.8422632,105.3505652,0,0.065,0.08,0.1016
20,19.842288166,105.3506441,0,0.0764,0.101,0.1142
21,19.84230485,105.350662,0,0.0764,0.101,0.1142
22,19.842291865,105.3506726,0,0.0764,0.101,0.1142
23,19.8422981,105.3506132,0,0.065,0.08,0.1016
24,19.842279754,105.3505883,0,0.065,0.08,0.1016
25,19.8422587,105.3506462,0,0.0764,0.101,0.1142
26,19.84224315,105.3506764,0,0.0498,0.092,0.0834
27,19.84229975,105.3507036,0,0.0764,0.101,0.1142
28,19.84223687,105.3506543,0,0.0498,0.092,0.0834
29,19.842308172,105.3506572,0,0.0764,0.101,0.1142
30,19.84227496,105.3506478,0,0.0764,0.101,0.1142
31,19.84223858,105.3505833,0,0.0638,0.0906,0.1014
32,19.84224724,105.350593,0,0.0638,0.0906,0.1014
33,19.84232739,105.3506974,0,0.0764,0.101,0.1142
34,19.842274672,105.3505765,0,0.065,0.08,0.1016
35,19.84224528,105.3506786,0,0.0498,0.092,0.0834
36,19.8423253,105.3507017,0,0.0764,0.101,0.1142
37,19.84226038,105.3506383,0,0.065,0.08,0.1016
38,19.84231035,105.350663,0,0.0764,0.101,0.1142
39,19.84225677,105.3506191,0,0.0638,0.0906,0.1014
40,19.84225923,105.3506679,0,0.0764,0.101,0.1142
